sample_1,sample_2,identical,n
BRZ_1261,BRZ_1262,0.86,1486
BRZ_1261,BRZ_1265,0.86,1050
BRZ_1261,BRZ_1269,0.87,1985
BRZ_1261,BRZ_1270,0.87,1985
BRZ_1261,BRZ_1271,0.85,1985
BRZ_1261,BRZ_1275,0.82,1885
BRZ_1261,BRZ_1276,0.82,1985
BRZ_1261,BRZ_1278,0.85,1317
BRZ_1261,BRZ_1283,0.79,1219
BRZ_1261,BRZ_1461,0.8,1949
BRZ_1261,BRZ_1464,0.83,678
BRZ_1261,BRZ_1465,0.86,1985
BRZ_1261,BRZ_1466,0.81,1856
BRZ_1261,BRZ_1468,0.82,1985
BRZ_1261,BRZ_1469,0.79,637
BRZ_1261,BRZ_1470,0.82,1875
BRZ_1261,BRZ_1472,0.81,637
BRZ_1261,BRZ_1473,0.82,1616
BRZ_1261,BRZ_1479,0.86,1985
BRZ_1261,BRZ_1480,0.86,1985
BRZ_1261,BRZ_1481,0.87,1985
BRZ_1261,BRZ_1483,0.83,1437
BRZ_1261,BRZ_1485,0.86,1985
BRZ_1261,BRZ_1486,0.83,1938
BRZ_1261,BRZ_1487,0.85,1985
BRZ_1261,BRZ_1488,0.86,1985
BRZ_1261,BRZ_1489,0.86,1985
BRZ_1261,BRZ_1490,0.79,445
BRZ_1261,BRZ_1503,0.82,1893
BRZ_1261,BRZ_1435,0.84,1389
BRZ_1261,BRZ_1436,0.84,1310
BRZ_1261,BRZ_1437,0.87,1985
BRZ_1261,BRZ_1438,0.84,1985
BRZ_1261,BRZ_1439,0.86,1985
BRZ_1261,BRZ_1440,0.85,1985
BRZ_1261,BRZ_1441,0.86,1985
BRZ_1261,BRZ_1442,0.83,1317
BRZ_1261,BRZ_1443,0.86,1985
BRZ_1261,BRZ_1444,0.87,1985
BRZ_1261,BRZ_1445,0.86,1985
BRZ_1261,BRZ_1446,0.86,1985
BRZ_1261,BRZ_1447,0.86,1985
BRZ_1261,BRZ_1448,0.87,1985
BRZ_1261,BRZ_1449,0.81,1981
BRZ_1261,BRZ_1450,0.81,1886
BRZ_1261,BRZ_1459,0.87,1985
BRZ_1261,BRZ_1509,0.78,956
BRZ_1261,BRZ_1510,0.86,1985
BRZ_1261,BRZ_1511,0.87,1985
BRZ_1261,KEY_1155,0.83,1985
BRZ_1261,KEY_1156,0.85,1985
BRZ_1261,KEY_1157,0.77,1408
BRZ_1261,KEY_1158,0.87,1985
BRZ_1261,KEY_1159,0.83,1985
BRZ_1261,KEY_1160,0.86,1985
BRZ_1261,KEY_1163,0.86,1985
BRZ_1261,KEY_1164,0.8,1966
BRZ_1261,KEY_1165,0.86,1985
BRZ_1261,KEY_1166,0.86,1985
BRZ_1261,KEY_1167,0.87,1985
BRZ_1261,KEY_1168,0.86,1985
BRZ_1261,KEY_1169,0.86,1985
BRZ_1261,KEY_1170,0.8,1938
BRZ_1261,KEY_1171,0.85,1985
BRZ_1261,KEY_1172,0.87,1985
BRZ_1261,KEY_1173,0.87,1985
BRZ_1261,KEY_1174,0.85,1985
BRZ_1261,KEY_1175,0.86,1985
BRZ_1261,KEY_1176,0.86,1985
BRZ_1261,KEY_1177,0.86,1985
BRZ_1261,KEY_1178,0.87,1985
BRZ_1261,KEY_1179,0.78,1795
BRZ_1261,KEY_1180,0.79,1731
BRZ_1261,KEY_1181,0.77,1644
BRZ_1261,KEY_1182,0.8,1364
BRZ_1261,KEY_1183,0.85,1985
BRZ_1261,KEY_1184,0.85,1985
BRZ_1261,KEY_1185,0.81,1985
BRZ_1261,KEY_1186,0.79,1985
BRZ_1261,KEY_1187,0.78,1942
BRZ_1261,KEY_1188,0.86,1985
BRZ_1261,KEY_1189,0.86,1985
BRZ_1261,KEY_1190,0.74,670
BRZ_1261,KEY_1191,0.86,1985
BRZ_1261,KEY_1193,0.77,1436
BRZ_1261,KEY_1370,0.85,1985
BRZ_1261,KEY_1371,0.87,1985
BRZ_1261,KEY_1372,0.81,1879
BRZ_1261,KEY_1373,0.81,1985
BRZ_1261,KEY_1374,0.82,1632
BRZ_1261,KEY_1375,0.86,1985
