Run	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
n	5332	5726	5735	5948	6445	7498	9019	9526	16166	17904	18174	18174	18174	18174	19742
Distance	0 to 100	0 to 200	0 to 300	0 to 400	0 to 500	0 to 600	0 to 700	0 to 800	0 to 900	0 to 1000	0 to 1100	0 to 1200	0 to 1300	0 to 1400	0 to 1500
r	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000
U	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000
L	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000
P(r-rand >= r-data)	0.002	0.001	0.001	0.002	0.002	0.005	0.033	0.035	0.174	0.218	0.175	0.172	0.195	0.184	0.396
P(r-rand <= r-data)	0.999	1.000	1.000	0.999	0.999	0.996	0.968	0.966	0.827	0.783	0.826	0.829	0.806	0.817	0.605
Correction	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
r uc	-0.002	-0.002	-0.002	-0.002	-0.002	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003
U uc	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003
L uc	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004	-0.004
Mean Bootstrap r	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ur error	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001	0.001	0.000
Lr error	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.001
Ur	0.003	0.002	0.002	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
Lr	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
