beta  ances 
0.303 0.190
0.316 0.198
0.318 0.202
0.318 0.202
0.319 0.205
0.318 0.205
0.320 0.203
0.321 0.202
0.321 0.203
0.321 0.202
0.321 0.202
0.321 0.203
0.321 0.203
0.322 0.203
0.322 0.203
0.321 0.203
0.322 0.204
0.322 0.204
0.322 0.205
0.322 0.205
0.322 0.205
0.322 0.205
0.322 0.204
0.322 0.205
0.322 0.205
0.322 0.205
0.322 0.204
0.322 0.205
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.205
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.205
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.204
0.322 0.205
0.322 0.205
0.322 0.205
