beta  ances 
0.306 0.216
0.304 0.217
0.301 0.216
0.302 0.214
0.302 0.214
0.301 0.216
0.301 0.215
0.300 0.213
0.298 0.213
0.298 0.214
0.298 0.213
0.298 0.213
0.298 0.212
0.298 0.213
0.298 0.213
0.299 0.213
0.298 0.213
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.213
0.299 0.213
0.299 0.214
0.300 0.214
0.300 0.214
0.300 0.214
0.300 0.214
0.300 0.213
0.300 0.213
0.300 0.213
0.300 0.214
0.300 0.214
0.300 0.213
0.300 0.213
0.300 0.213
0.300 0.213
0.300 0.213
0.300 0.213
0.300 0.214
0.300 0.214
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.214
0.299 0.214
