beta  ances 
0.336 0.212
0.326 0.216
0.326 0.219
0.324 0.218
0.324 0.218
0.325 0.217
0.325 0.218
0.326 0.219
0.326 0.219
0.325 0.218
0.325 0.218
0.324 0.218
0.325 0.218
0.324 0.218
0.324 0.218
0.323 0.218
0.323 0.217
0.323 0.217
0.323 0.216
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.216
0.323 0.216
0.323 0.216
0.323 0.216
0.323 0.216
0.323 0.216
0.323 0.216
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.217
0.323 0.218
0.323 0.218
0.323 0.218
0.323 0.218
