beta  ances 
0.211 0.545
0.214 0.547
0.211 0.547
0.213 0.548
0.214 0.547
0.215 0.550
0.213 0.550
0.214 0.549
0.214 0.551
0.213 0.549
0.213 0.548
0.213 0.549
0.213 0.549
0.213 0.550
0.213 0.550
0.214 0.550
0.214 0.551
0.214 0.551
0.214 0.551
0.214 0.550
0.214 0.549
0.214 0.549
0.213 0.549
0.214 0.548
0.214 0.547
0.214 0.547
0.215 0.547
0.214 0.548
0.215 0.547
0.215 0.548
0.215 0.547
0.215 0.547
0.215 0.547
0.215 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.548
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
0.214 0.547
