beta  ances 
0.323 0.205
0.316 0.212
0.317 0.213
0.314 0.215
0.314 0.216
0.316 0.215
0.316 0.215
0.316 0.214
0.316 0.214
0.316 0.214
0.317 0.213
0.316 0.213
0.317 0.212
0.317 0.213
0.317 0.213
0.318 0.213
0.318 0.213
0.318 0.213
0.318 0.214
0.318 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
0.319 0.214
