"","x"
"1","8536_contig_214_8514"
"2","22247_contig_464_3702"
"3","23801_contig_498_4590"
"4","41509_contig_891_7240"
"5","43361_contig_935_1622"
"6","45469_contig_986_707"
"7","48101_contig_1045_5636"
"8","52678_contig_1160_7201"
"9","58186_contig_1283_8744"
"10","59963_contig_1324_14847"
"11","63110_contig_1384_34071"
"12","63878_contig_1410_22093"
"13","66546_contig_1477_5843"
"14","73778_contig_1640_4348"
"15","76651_contig_1708_31699"
"16","77921_contig_1738_13797"
"17","79083_contig_1767_971"
"18","90375_contig_2016_1637"
"19","94700_contig_2121_3473"
"20","95485_contig_2146_19969"
"21","102593_contig_2277_1128"
"22","105746_contig_2342_20239"
"23","106820_contig_2368_2577"
"24","111935_contig_2429_13422"
"25","118935_contig_2575_19966"
"26","128743_contig_2820_3537"
"27","132666_contig_2878_7217"
"28","133168_contig_2894_4507"
"29","137710_contig_2979_27386"
"30","138973_contig_3020_16516"
"31","143982_contig_3100_2044"
"32","146594_contig_1_3131_109"
"33","146924_contig_3149_9811"
"34","173839_contig_3646_409"
"35","177263_contig_3701_2530"
"36","181484_contig_3790_2465"
"37","182624_contig_3823_528"
"38","200931_contig_4113_231"
"39","201007_contig_4116_17538"
"40","238050_contig_4662_14235"
"41","238809_contig_4666_4514"
"42","238809_contig_4668_6440"
"43","248699_contig_4830_905"
"44","253013_contig_4867_2787"
"45","258232_contig_4923_4399"
"46","259389_contig_4938_679"
"47","274672_contig_5100_1383"
"48","276740_contig_0_5152_361"
"49","278186_contig_5177_2413"
"50","283346_contig_1_5251_1215"
"51","286544_contig_5311_1312"
"52","297363_contig_0_5524_608"
"53","297524_contig_5525_611"
