"LocusName","He","FST","T1","T2","FSTNoCorr","T1NoCorr","T2NoCorr","meanAlleleFreq","indexOrder","GoodH","qvalues","pvalues","pvaluesRightTail","OutlierFlag"
"232_pilon_2036.001",0.0191675338189385,-0.00478196400231949,-4.59007112058709e-05,0.0095987153361269,0.0149455076936976,0.000143503279434793,0.00960176679011763,0.990322580645161,2,"goodH",0.956406626980217,0.970470393768348,0.485235196884174,FALSE
"335_pilon_972.001",0.0240204728337692,-0.00360422194417486,-4.33336423727183e-05,0.0120230227338675,0.0102309819595623,0.000123033727216861,0.0120256029873915,0.987841945288754,4,"goodH",0.957039443822853,0.498608784190173,0.750695607904913,FALSE
"341_pilon_1400.002",0.144993281375974,-0.000383333963351297,-2.78350685683138e-05,0.0726131030106638,0.0146987432289925,0.00106755830477868,0.0726292233388348,0.921311475409836,6,"goodH",0.956406626980217,0.996964542544895,0.498482271272447,FALSE
"536_pilon_3491.001",0.0342042541259413,0.0094880737391685,0.000162752787741409,0.0171534067098927,0.0260958705176148,0.000447733864458538,0.017157268777691,0.982594936708861,8,"goodH",0.769122871997325,0.205996581317196,0.102998290658598,FALSE
"794_pilon_11572.002",0.037486307760964,-0.00250890228777645,-4.70838518386732e-05,0.0187667140597978,0.011870270560484,0.000222819378075818,0.0187712130857052,0.980891719745223,10,"goodH",0.956406626980217,0.684003613348247,0.657998193325877,FALSE
"1009_pilon_1199.002",0.0239485766758494,0.00326607228417093,3.91982847774684e-05,0.0120016586795839,0.0203801015350952,0.000244659822229872,0.0120048382393267,0.987878787878788,12,"goodH",0.935943453655933,0.489655686931168,0.244827843465584,FALSE
"1282_pilon_8355.002",0.12931608875421,0.00512322300331458,0.000332000493662984,0.0648030533607827,0.0197219466988142,0.00127833434153219,0.0648178580468959,0.930513595166163,14,"goodH",0.942346640519724,0.536351081675624,0.268175540837812,FALSE
"1413_pilon_361.004",0.024238774511649,-0.00145474391915118,-1.76611222322726e-05,0.0121403650496629,0.0159922961144963,0.000194204159704287,0.0121436070414085,0.987730061349693,16,"goodH",0.953633240168414,0.861890557512538,0.430945278756269,FALSE
"2023_pilon_8395.002",0.0396783804505001,0.00419805350545489,8.34559043304301e-05,0.0198796666650363,0.0180352034965788,0.000358605675379248,0.019883650076212,0.979750778816199,18,"goodH",0.942346640519724,0.670881008229594,0.335440504114797,FALSE
"2405_pilon_4288.002",0.118921642731167,0.0117456915064502,0.000700501119218474,0.0596389849702582,0.025729541688946,0.0015347928401965,0.0596509980143131,0.936507936507937,20,"goodH",0.775651669075708,0.218524899566181,0.10926244978309,FALSE
"2508_pilon_1_6228.001",0.0594678008205052,0.00995402800004499,0.00029681938248694,0.0298190222576828,0.0247210778120994,0.000737320393624793,0.0298255763453777,0.969325153374233,22,"goodH",0.807022640180118,0.256502976827049,0.128251488413524,FALSE
"2886_pilon_8452.004",0.0120115734613593,-0.00279021395106165,-1.67769401036008e-05,0.00601277909072792,0.0110270517127177,6.63175041400819e-05,0.00601407392182598,0.993957703927492,24,"goodH",0.956406626980217,0.587629019480249,0.706185490259876,FALSE
"3483_pilon_7022.001",0.0471700696415696,-0.00281798654162734,-6.65377379830184e-05,0.0236118011921356,0.0107293564021548,0.000253389747291617,0.0236164908494164,0.97583081570997,26,"goodH",0.956406626980217,0.554032998998824,0.722983500500588,FALSE
"3547_pilon_1_2558.002",0.258430529427573,-0.000658057808750705,-8.5167376253385e-05,0.129422332082149,0.0147096472330327,0.00190420165162879,0.129452570919079,0.847540983606557,28,"goodH",0.956406626980217,0.995787254953679,0.497893627476839,FALSE
"3552_pilon_1298.004",0.039318510897729,0.00612400237499044,0.000120694778864255,0.0197084800876557,0.0219938437932902,0.000433564934588346,0.0197130132714963,0.979938271604938,30,"goodH",0.902998368037585,0.388456923624024,0.194228461812012,FALSE
"3738_pilon_308.002",0.053214585970196,-0.0082872126474963,-0.000220641261576709,0.0266243031236043,0.00704493872796247,0.000187612267158229,0.0266307876339033,0.972644376899696,32,"goodH",0.959551729174509,0.192744983162247,0.903627508418877,FALSE
"3832_pilon_7313.003",0.13454027587258,-0.00271144176461459,-0.00018263755091098,0.0673580946102083,0.0123304206254447,0.000830751291826305,0.067374124294835,0.927469135802469,34,"goodH",0.956406626980217,0.736910279026661,0.63154486048667,FALSE
"3895_pilon_0_9856.002",0.0994322511812225,0.0190600378648816,0.000951586881002172,0.049925760260712,0.03542019220621,0.0017688819864639,0.0499399318943779,0.947530864197531,36,"goodH",0.370323154132924,0.0405217564037854,0.0202608782018927,FALSE
"4083_pilon_6560.001",0.0306674042371484,0.00208874476068983,3.20856015868633e-05,0.0153611883034798,0.0160594023665921,0.000246743367991868,0.0153644178257318,0.984423676012461,38,"goodH",0.953633240168414,0.855158461065711,0.427579230532855,FALSE
"4083_pilon_31730.003",0.0751201604261054,0.033974801956133,0.00128360673159995,0.0377811394826464,0.0486122591734497,0.00183704880718107,0.0377898258261652,0.960912052117264,40,"goodH",0.0588060008797822,0.00306000137812634,0.00153000068906317,FALSE
