"LocusName","He","FST","T1","T2","FSTNoCorr","T1NoCorr","T2NoCorr","meanAlleleFreq","indexOrder","GoodH","qvalues","pvalues","pvaluesRightTail","OutlierFlag"
"232_pilon_2036.002",0.0406710285906766,0.00307476874460124,6.26486225090801e-05,0.0203750680824632,0.0173056693220749,0.000352682666601904,0.0203796027786123,0.979233226837061,2,"goodH",0.96579768199171,0.755859475243255,0.377929737621627,FALSE
"335_pilon_972.003",0.0333237575409364,0.015943824601758,0.000266714033448209,0.016728359732382,0.0338960982855014,0.000567199079205603,0.0167334621946212,0.983050847457627,4,"goodH",0.449213743419776,0.0523713500418888,0.0261856750209444,FALSE
"335_pilon_973.003",0.0234472852628556,0.00353290182026253,4.1526518873045e-05,0.0117542238606447,0.0232629386384517,0.000273529434716673,0.0117581634447744,0.988135593220339,6,"goodH",0.879894991235383,0.326993359735878,0.163496679867939,FALSE
"341_pilon_1400.004",0.0742027386153776,0.0120918451971697,0.000450139435164893,0.0372266951672731,0.0292204780788055,0.00108803281248397,0.037235284431337,0.961409395973154,8,"goodH",0.646949885798596,0.122155575003998,0.0610777875019989,FALSE
"536_pilon_3491.002",0.019478634775598,0.0089731807430095,8.76299308082316e-05,0.00976576013767461,0.0235573061260755,0.00023010236407476,0.00976777067985973,0.99016393442623,10,"goodH",0.872510021431577,0.312403080523494,0.156201540261747,FALSE
"794_pilon_11572.001",0.03760373179271,-0.00151451109128606,-2.85150548060265e-05,0.0188278943416735,0.012883906205765,0.000242635457080927,0.0188324451611079,0.980830670926518,12,"goodH",0.96579768199171,0.769279432762586,0.615360283618707,FALSE
"1009_pilon_1199.004",0.0249181502453006,-0.0016179784193538,-2.01940961871009e-05,0.0124810664626579,0.0163248761178216,0.000203807686182509,0.01248448592881,0.987381703470032,14,"goodH",0.96579768199171,0.851876909866615,0.425938454933308,FALSE
"1009_pilon_1234.004",0.0870460164033571,0.0217512571567311,0.000950768336011827,0.04371096020616,0.0364303733743917,0.00159273849188294,0.0437200704893829,0.954397394136808,16,"goodH",0.318282969785788,0.0323865502237353,0.0161932751118676,FALSE
"1282_pilon_8355.004",0.0442810611535278,-0.00410415494340013,-9.10102988379272e-05,0.0221751615358188,0.0147753040587616,0.000327731357575143,0.0221810228927777,0.977346278317152,18,"goodH",0.96579768199171,0.983985199225195,0.508007400387403,FALSE
"1413_pilon_361.003",0.372607709750567,-0.000824771617056964,-0.000153806915744686,0.186484249171323,0.00894084360247915,0.00166756135845247,0.186510516523305,0.752380952380952,20,"goodH",0.97001408242782,0.333613247222063,0.833193376388968,FALSE
"2023_pilon_8395.004",0.0697114433764487,-0.0045824109696626,-0.000159876297634033,0.0348891224930452,0.00939485420565946,0.000327848871554098,0.0348966428192789,0.963836477987421,22,"goodH",0.97001408242782,0.378906576952191,0.810546711523904,FALSE
"2405_pilon_4288.004",0.0383240140478944,0.00437644618081125,8.40403519375592e-05,0.019202875681652,0.0188521158475849,0.000362090976571507,0.0192069144651418,0.980456026058632,24,"goodH",0.96579768199171,0.618762266637019,0.309381133318509,FALSE
"2508_pilon_1_6228.001",0.0124995055575334,0.000601225384584408,3.76367590904163e-06,0.00626000831891561,0.0148897667634502,9.32309601131229e-05,0.00626141171948885,0.993710691823899,26,"goodH",0.96579768199171,0.996558407317247,0.501720796341377,FALSE
"2508_pilon_1_8926.002",0.0825414161622553,-0.00835663284948227,-0.00034505661014897,0.0412913450146787,0.00585729862043818,0.000241913440405426,0.0413011963503627,0.956869009584665,28,"goodH",0.97001408242782,0.0968648288260414,0.951567585586979,FALSE
"2886_pilon_8452.002",0.0329940092788614,-0.00251487524952898,-4.15577749891897e-05,0.0165247858703819,0.01582457391003,0.000261584895529826,0.0165302962984695,0.983221476510067,30,"goodH",0.96579768199171,0.903335148694507,0.451667574347253,FALSE
